Репка;5;Австралиум;5;Кац;5;Костя;5;Кот;5;Рикс;5;Армагеддон;5;;;;;;;;;;;;
Мишаня;5;Ай;5;Кот;5;Прот;5;Лёша;5;;;;;;;;;;;;;;;;
НетПроблем;4;Ай;4;Рикс;4;Костя;4;Каифас;4;;;;;;;;;;;;;;;;
Салливан;5;Прот;5;Маршал;5;Лёша;5;Клисп;5;;;;;;;;;;;;;;;;
Кац;4;Нулевой;4;Кот;4;Фачех;2;Андрюша;3;Чебурекс;3;;;;;;;;;;;;;;
Австралиум;4;Репка;4;НетПроблем;4;Лёша;4;Каифас;4;;;;;;;;;;;;;;;;
Ай;6;Мишаня;6;Хайро;6;Рикс;6;Вив;6;;;;;;;;;;;;;;;;
НетПроблем;5;Лафелор;5;Катя;5;Скитлс;4;Салливан;5;;;;;;;;;;;;;;;;
Салливан;5;НетПроблем;5;Прот;5;Кот;5;Рикс;5;;;;;;;;;;;;;;;;
Ай;4;Хайро;4;НетПроблем;4;Салливан;4;;;;;;;;;;;;;;;;;;
Репка;5;Лафелор;5;Рикс;5;Австралиум;5;Армагеддон;5;Сокол;0;Клисп;5;Костя;5;;;;;;;;;;
НетПроблем;7;Ай;7;Салливан;7;Вив;7;Лёша;7;;;;;;;;;;;;;;;;
Салливан;5;Репка;5;НетПроблем;5;Андрюша;5;Рикс;5;;;;;;;;;;;;;;;;
Австралиум;6;Кац;6;Каифас;6;Мисфитс;6;УдПо1;6;Андрюша;6;;;;;;;;;;;;;;
Ай;4;Элифас;4;Хуманов;4;Хентай;4;ФРанкГод;4;;;;;;;;;;;;;;;;
Кац;5;НетПроблем;5;Лёша;5;Кот;5;Трогиг;1;;;;;;;;;;;;;;;;
Ай;3;Элифас;3;Хуманов;3;Хентай;3;ФРанкГод;3;;;;;;;;;;;;;;;;
Мишаня;5;Репка;5;Пудж;5;Ай;5;Лёша;5;Хентай;5;;;;;;;;;;;;;;
Рикс;4;Федир;4;Каифас;4;Коди;3;Костя;4;Юролипс;4;;;;;;;;;;;;;;
Хайро;5;Вив;5;Андрюша;5;Прот;5;;;;;;;;;;;;;;;;;;
Салливан;4;Рикс;4;Ай;4;Маршал;4;;;;;;;;;;;;;;;;;;
Лёша;6;Мишаня;6;НетПроблем;6;Кот;6;Костя;6;Хентай;6;;;;;;;;;;;;;;
Ай;4;Хентай;4;Хуманов;4;Салливан;4;Каифас;4;;;;;;;;;;;;;;;;
Хайро;4;НетПроблем;4;Вив;4;Прот;4;Кот;4;;;;;;;;;;;;;;;;
Лафелор;4;НетПроблем;4;Хуманов;4;Кот;4;Пудж;4;Фачех;4;;;;;;;;;;;;;;
Салливан;4;Рикс;4;Ай;4;Маршал;4;;;;;;;;;;;;;;;;;;
Салливан;5;Маршал;2;Нобиус;5;Шакшука;5;Кот;5;;;;;;;;;;;;;;;;
Ай;4;Катя;4;НетПроблем;4;Рикс;4;Элифас;4;;;;;;;;;;;;;;;;
Ай;6;Катя;6;НетПроблем;6;Рикс;6;Элифас;6;;;;;;;;;;;;;;;;
Мишаня;5;Элифас;5;Аркси;5;Фачех;5;Сурок;5;;;;;;;;;;;;;;;;
Салливан;4;Маршал;4;Костя;4;Прот;4;Ай;4;Элифас;4;;;;;;;;;;;;;;
Салливан;5;Маршал;5;Костя;5;Прот;5;Ай;5;Элифас;5;;;;;;;;;;;;;;
Кац;5;Репка;5;Пудж;5;Хентай;5;Хуманов;5;;;;;;;;;;;;;;;;
Лафелор;3;Рикс;3;Австралиум;3;Репка;3;Хентай;3;Армагеддон;3;;;;;;;;;;;;;;
Лёша;7;Пудж;7;Элифас;7;Прот;7;Каифас;7;;;;;;;;;;;;;;;;
Салливан;4;Ай;4;Маршал;4;Сурок;4;НетПроблем;4;;;;;;;;;;;;;;;;
Нулевой;4;Австралиум;4;Рикс;4;Армагеддон;4;;;;;;;;;;;;;;;;;;
Эрго;5;Каифас;5;Утка;5;Карач;5;Магнус;5;Костя;5;Салливан;5;;;;;;;;;;;;
Катя;6;Ай;6;Элифас;6;НетПроблем;6;Хентай;6;;;;;;;;;;;;;;;;
НетПроблем;5;Рикс;5;Вив;5;Армагеддон;5;Репка;5;;;;;;;;;;;;;;;;
НетПроблем;3;Лёша;3;Прот;3;Федир;3;Аибот;3;;;;;;;;;;;;;;;;
Ай;5;Австралиум;5;Хайро;5;Салливан;5;Рикс;5;;;;;;;;;;;;;;;;
НетПроблем;4;Салливан;4;Чара;4;Ресет;4;Эрго;4;Кот;4;;;;;;;;;;;;;;
Ай;3;Австралиум;3;Хайро;3;Салливан;3;Рикс;3;;;;;;;;;;;;;;;;
Репка;3;Аибот;3;Лёша;3;Ресет;3;Аркси;3;Утка;3;;;;;;;;;;;;;;
Салливан;4;Ай;4;Австралиум;4;Маршал;4;Прот;4;Эрго;4;Чара;4;;;;;;;;;;;;
Эрго;11;Лёша;11;Маршал;11;Нулевой;11;Андрюша;11;;;;;;;;;;;;;;;;
Ай;4;Рикс;4;Хентай;4;Коди;4;;;;;;;;;;;;;;;;;;
Муслим;3;Ресет;3;Аркси;3;Каифас;3;Юролипс;3;;;;;;;;;;;;;;;;
Пудж;6;Каифас;6;Муслим;6;Кот;6;Голдфиш;6;Шируме;6;;;;;;;;;;;;;;
Салливан;2;ДугГир;2;Каифас;2;Прот;2;;;;;;;;;;;;;;;;;;
Нулевой;2;Рикс;2;Маршал;2;Буржуй ;2;;;;;;;;;;;;;;;;;;
Ай;4;НетПроблем;4;Элифас;4;Лёша;4;Хуманов;4;;;;;;;;;;;;;;;;
НетПроблем;3;Кот;3;Лёша;3;Хуманов;3;Хентай;3;;;;;;;;;;;;;;;;
Салливан;2;Аибот;2;Прот;2;Андрюша;2;Буржуй;1;;;;;;;;;;;;;;;;
Пудж;6;Рикс;6;Федир;6;ДугГир;6;Лёша;6;;;;;;;;;;;;;;;;
НетПроблем;3;Лёша;3;Кац;3;Аркси;3;Михайло;3;;;;;;;;;;;;;;;;
Нулевой;5;Лёша;5;ФРанкГод;5;Утка;5;Андрюша;5;;;;;;;;;;;;;;;;
Ай;3;Элифас;3;Аибот;3;Хуманов;3;Кац;3;;;;;;;;;;;;;;;;
Репка;3;Хуманов;3;Михайло;3;Андрюша;3;Утка;3;Нобиус;3;;;;;;;;;;;;;;
Эрго;6;Ай;6;Рикс;6;Костя;6;Прот;6;;;;;;;;;;;;;;;;
Пудж;4;НетПроблем;4;Кот;4;Хентай;4;Лёша;4;;;;;;;;;;;;;;;;
